id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
767,NYC DEP Green Infrastructure Research and Development Project: Monitoring Strategy and Protocols,"McLaughlin, John; Urisaka, Miki; Montalto, Franco; Pasquel, Fernando; Acosta, Valentina Paiva",INTERNATIONAL CONFERENCE ON SUSTAINABLE INFRASTRUCTURE 2017: TECHNOLOGY,2017,,,,,,,,,,,,,,,,,,,,
768,Green infrastructure policy for sustainable urban development,"Danjaji, Abdulrahman Sa'adu; Ariffin, Mariani",INTERNATIONAL JOURNAL OF ENVIRONMENT AND SUSTAINABLE DEVELOPMENT,2017,,,,,,,,,,,,,,,,,,,,
769,Understanding and Planning for Organized Community Sport in Public Parks: A Case Study of Policy and Practice in Perth,"Middle, Isaac; Hedgcock, Dave; Jones, Roy; Tye, Marian",URBAN POLICY AND RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
770,"GREEN INFRASTRUCTURE, CLIMATE CHANGE AND SPATIAL PLANNING: LEARNING LESSONS ACROSS BORDERS","Samora-Arvela, Andre; Ferrao, Joao; Ferreira, Jorge; Panagopoulos, Thomas; Vaz, Eric",JOURNAL OF SPATIAL AND ORGANIZATIONAL DYNAMICS,2017,,,,,,,,,,,,,,,,,,,,
771,Mind the gap: tools for a parcel-based storm water management approach,"Albro, Sandra L.; Burkholder, Sean; Koonce, Joseph",LANDSCAPE RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
772,Integration of the ecosystem services concept in planning documents from six municipalities in southwestern Sweden,"Nordin, Amanda C.; Hanson, Helena I.; Olsson, Johanna Alkan",ECOLOGY AND SOCIETY,2017,,,,,,,,,,,,,,,,,,,,
773,Prioritizing dam removal and stream restoration using critical habitat patch threshold for brown trout (Salmo trutta L.): a catchment case study from Sweden,"Tornblom, Johan; Angelstam, Per; Degerman, Erik; Tamario, Carl",ECOSCIENCE,2017,,,,,,,,,,,,,,,,,,,,
774,Ecomimesis: A Sustainable Design Paradigm Ecomimetic Solutions to Ecosystem Homeostatic Imbalances,"Woo, Lillian C.",EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT,2017,,,,,,,,,,,,,,,,,,,,
775,"Making Smart and Sustainable Infrastructure Projects Viable: Private Choices, Public Support, and Systems Constraints","Noonan, Douglas; Zhou, Shan; Kirkman, Robert",URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
776,Nature and the city. Prospects for the integration of green infrastructure in spanish metropolitan plans,"Feria Toribio, Jose Maria; Santiago Ramos, Jesus",BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,2017,,,,,,,,,,,,,,,,,,,,
777,Roads may act as barriers to flying insects: species composition of bees and wasps differs on two sides of a large highway,"Andersson, Petter; Koffman, Anna; Sjodin, N. Erik; Johansson, Victor",NATURE CONSERVATION-BULGARIA,2017,,,,,,,,,,,,,,,,,,,,
778,Perspectives and mechanisms of circular economy global development,"Mishenin, Ye. V.; Koblianska, I. I.",MARKETING AND MANAGEMENT OF INNOVATIONS,2017,,,,,,,,,,,,,,,,,,,,
779,GREEN GOVERNANCE PRINCIPLES IN THE DEVELOPMENT OF ENVIRONMENTAL EDUCATION INFRASTRUCTURE,"Kusis, Janis; Brokane, Larisa; Miltovica, Baiba",RURAL DEVELOPMENT AND ENTREPRENEURSHIP BIOECONOMY PRODUCTION AND CO-OPERATION IN AGRICULTURE,2017,,,,,,,,,,,,,,,,,,,,
780,City Greening strategies for urban landscape between aesthetics and health,"Sabbion, Paola; Tucci, Giorgia",RI VISTA-RICERCHE PER LA PROGETTAZIONE DEL PAESAGGIO,2017,,,,,,,,,,,,,,,,,,,,
781,GreenInUrbs Green Infrastructure: solutions based on nature for sustainable and resilient cities,"Maino, Elisabetta",RI VISTA-RICERCHE PER LA PROGETTAZIONE DEL PAESAGGIO,2017,,,,,,,,,,,,,,,,,,,,
782,Urban vegetation extraction with multi-angular Pleiades images,"Lefebvre, Antoine; Corpetti, Thomas; Nabucet, Jean; Hubert-Moy, Laurence",2017 JOINT URBAN REMOTE SENSING EVENT (JURSE),2017,,,,,,,,,,,,,,,,,,,,
783,Derive an understanding of Green Infrastructure for the quality of life in cities by means of integrated RS mapping tools,"Wang, Jingxia; Banzhaf, Ellen",2017 JOINT URBAN REMOTE SENSING EVENT (JURSE),2017,,,,,,,,,,,,,,,,,,,,
784,A complex approach to the development of green infrastructure of Armenia's cities,"Hovhannisyan, Hasmik A.; Nersisyan, Gayane S.",GREEN URBANISM (GU),2017,,,,,,,,,,,,,,,,,,,,
785,Green strategies for flood resilient cities: The Benevento case study,"Galderisi, Adriana; Treccozzi, Erica",GREEN URBANISM (GU),2017,,,,,,,,,,,,,,,,,,,,
786,Developing key sustainability indicators for assessing green infrastructure performance,"Pakzad, Parisa; Osmond, Paul; Corkery, Linda","INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016",2017,,,,,,,,,,,,,,,,,,,,
787,Greening rail infrastructure for carbon benefits,"Blair, John; Roldan, Cielo; Ghosh, Sumita; Yung, Shih-Hsien","INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016",2017,,,,,,,,,,,,,,,,,,,,
788,Obstacles to developing sustainable cities: the real estate rigidity trap,"Turner, V. Kelly",ECOLOGY AND SOCIETY,2017,,,,,,,,,,,,,,,,,,,,
789,GREEN INFRASTRUCTURE CONTRIBUTION FOR CLIMATE CHANGE ADAPTATION IN URBAN LANDSCAPE CONTEXT,"Ramyar, R.; Zarghami, E.",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
790,Shifts in ecosystem services in deprived urban areas: understanding people's responses and consequences for well-being,"Derkzen, Marthe L.; Nagendra, Harini; Van Teeffelen, Astrid J. A.; Purushotham, Anusha; Verburg, Peter H.",ECOLOGY AND SOCIETY,2017,,,,,,,,,,,,,,,,,,,,
791,Vegetation conservation to reduce hidrometeorological risks on a border metropoli,"Gonzalez, Yazmin Ochoa; Ojeda-Revah, Lina",ESTUDIOS FRONTERIZOS,2017,,,,,,,,,,,,,,,,,,,,
792,Towards Sustainable Territories-in-Between: A Multidimensional Typology of Open Spaces in Europe,"Wandl, Alexander; Rooij, Remon; Rocco, Roberto",PLANNING PRACTICE AND RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
793,"Runoff Modeling to Inform Policy Regarding Development of Green Infrastructure for Flood Risk Management and Groundwater Recharge Augmentation along an Urban Subcatchment, Ciudad Juarez, Mexico","Granados-Olivas, Alfredo; Carlos Alatorre-Cejudo, Luis; Adams, David; Serra, Yolande L.; Hugo Esquivel-Ceballos, Victor; Adrian Vazquez-Galvez, Felipe; Elena Giner, Maria; Eastoe, Chris",JOURNAL OF CONTEMPORARY WATER RESEARCH & EDUCATION,2016,,,,,,,,,,,,,,,,,,,,
794,Temporal and spatial dynamics of a Rust-Belt urban stream: Metabolic and water quality responses to hardened land,"Limburg, K. E.; Swaney, D. P.; Hall, M. H.",URBAN ECOSYSTEMS,2016,,,,,,,,,,,,,,,,,,,,
795,Recreational Use of the Countryside: No Evidence that High Nature Value Enhances a Key Ecosystem Service,"Hornigold, Karen; Lake, Iain; Dolman, Paul",PLOS ONE,2016,,,,,,,,,,,,,,,,,,,,
796,"THEORY, APPLICATION AND PROSPECT OF NEGATIVE PLANNING APPROACH","Li, Bo; Huang, Zixi",LANDSCAPE ARCHITECTURE FRONTIERS,2016,,,,,,,,,,,,,,,,,,,,
797,Achieving Successful River Restoration in Dense Urban Areas: Lessons from Taiwan,"Chou, Rung-Jiun",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
798,Sustainability,"Chang, Chein-Chi; DiGiovanni, Kimberly; Mei, Ying; Wei, Li",WATER ENVIRONMENT RESEARCH,2016,,,,,,,,,,,,,,,,,,,,
799,An innovative solar energy-powered floating media bed reactor for nutrient removal (II): material characterization,"Lin, Kuen-Song; Chang, Ni-Bin; Hartshorn, Nickolas; Wanielista, Martin P.; Chiang, Chao-Lung",JOURNAL OF CLEANER PRODUCTION,2016,,,,,,,,,,,,,,,,,,,,
800,REFERENCE COMMUNITY: ADAPTING NATIVE PLANTS TO NORTH AMERICAN GREEN ROOFS,"Mandel, Lauren; McCoy, Emily; Liss, Toby",JOURNAL OF GREEN BUILDING,2016,,,,,,,,,,,,,,,,,,,,
801,Green Infrastructure in Spanish Spatial Planning?,"Rodriguez Espinosa, Victor Manuel; Aguilera Benavente, Francisco",CIUDAD Y TERRITORIO-ESTUDIOS TERRITORIALES-CYTET,2016,,,,,,,,,,,,,,,,,,,,
802,Anticorrosive Influence of Acetobacter aceti Biofilms on Carbon Steel,"France, Danielle Cook",JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,2016,,,,,,,,,,,,,,,,,,,,
803,"Role of urban green spaces for saproxylic beetle conservation: a case study of tenebrionids in Rome, Italy","Fattorini, Simone; Galassi, Diana M. P.",JOURNAL OF INSECT CONSERVATION,2016,,,,,,,,,,,,,,,,,,,,
804,GREEN INFRASTRUCTURE AND URBAN BIODIVERSITY,"Savvas, Warwick",LANDSCAPE ARCHITECTURE FRONTIERS,2016,,,,,,,,,,,,,,,,,,,,
805,"URBAN WATERSHED FRAMEWORK PLAN FOR CONWAY, ARKANSAS: A RECONCILIATION LANDSCAPE","Wang, Moying",LANDSCAPE ARCHITECTURE FRONTIERS,2016,,,,,,,,,,,,,,,,,,,,
806,"WEISHAN LAKE NATIONAL WETLAND PARK, SHANDONG","Tao, Lian",LANDSCAPE ARCHITECTURE FRONTIERS,2016,,,,,,,,,,,,,,,,,,,,
807,"Assessing Urban Forest Structure, Ecosystem Services, and Economic Benefits on Vacant Land","Kim, Gunwoo",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
808,Ensuring Resilience of Natural Resources under Exposure to Extreme Climate Events,"Jacobs, Brent; Boronyak-Vasco, Louise; Moyle, Kristy; Leith, Peat",RESOURCES-BASEL,2016,,,,,,,,,,,,,,,,,,,,
809,Organisational effects of virtual meetings,"Lindeblad, Peter Abraharnsson; Voytenko, Yuliya; Mont, Oksana; Arnfalk, Peter",JOURNAL OF CLEANER PRODUCTION,2016,,,,,,,,,,,,,,,,,,,,
810,"Water Management Supporting the Delivery of Ecosystem Services for Grassland, Heath and Moorland","Ritzema, Henk; Kirkpatrick, Hilary; Stibinger, Jakub; Heinhuis, Hans; Belting, Heinrich; Schrijver, Raymond; Diemont, Herbert",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
811,Assessing the Geoecological Functions of the Green Infrastructure in Cities of Canada,"Klimanova, O. A.; Kolbovskii, E. Yu.; Kurbakovskaya, A. V.",GEOGRAPHY AND NATURAL RESOURCES,2016,,,,,,,,,,,,,,,,,,,,
812,FAYETTEVILLE 2030: FOOD CITY SCENARIO,,LANDSCAPE ARCHITECTURE FRONTIERS,2016,,,,,,,,,,,,,,,,,,,,
813,"Agricultural Land and the New Urban Paradigm: Coexistence, Integration, or Conflict?","Pierantoni, Ilenia; Sargolini, Massimo",CHALLENGES IN SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
814,Quantitative assessment of rain gardens: A case study in Istanbul University Faculty of forestry,"Eksi, Mert; Yilmaz, Melek; Ozden, Oyku",JOURNAL OF THE FACULTY OF ENGINEERING AND ARCHITECTURE OF GAZI UNIVERSITY,2016,,,,,,,,,,,,,,,,,,,,
815,SuDS and human behaviour: Co-developing solutions to encourage sustainable behaviour,"Everett, Glyn; Lamond, Jessica",3RD EUROPEAN CONFERENCE ON FLOOD RISK MANAGEMENT (FLOODRISK 2016),2016,,,,,,,,,,,,,,,,,,,,
816,A Green Infrastructure Typology Matrix to Support Urban Microclimate Studies,"Koc, Carlos Bartesaghi; Osmond, Paul; Peters, Alan","FOURTH INTERNATIONAL CONFERENCE ON COUNTERMEASURES TO URBAN HEAT ISLAND, (UHI 2016)",2016,,,,,,,,,,,,,,,,,,,,
817,Managing plant-soil-water systems for more sustainable landscapes,"Connellan, G. J.","XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES(IHC2014): V INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE AND INTERNATIONAL SYMPOSIUM ON SUSTAINABLE MANAGEMENT IN THE URBAN FOREST",2016,,,,,,,,,,,,,,,,,,,,
818,A plants palette for hydroponic structures on buildings,"Karras, G.; Tsirogiannis, I. L.; Bakea, M.; Varras, G.; Savvas, D.; Lykas, C.; Salas, M. C.","XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES(IHC2014): V INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE AND INTERNATIONAL SYMPOSIUM ON SUSTAINABLE MANAGEMENT IN THE URBAN FOREST",2016,,,,,,,,,,,,,,,,,,,,
819,Effect of substrate type and irrigation frequency on growth of Mediterranean xerophytes on green roofs,"Papafotiou, M.; Tassoula, L.; Liakopoulos, G.; Kargas, G.","XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES(IHC2014): V INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE AND INTERNATIONAL SYMPOSIUM ON SUSTAINABLE MANAGEMENT IN THE URBAN FOREST",2016,,,,,,,,,,,,,,,,,,,,
820,Implication of plant selection for building insulation,"Monteirol, M. Vaz; Hadley, P.; Blanusa, T.; Cameron, R. W. F.","XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES(IHC2014): V INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE AND INTERNATIONAL SYMPOSIUM ON SUSTAINABLE MANAGEMENT IN THE URBAN FOREST",2016,,,,,,,,,,,,,,,,,,,,
821,Exploring Win-Win Strategies for Urban Stormwater Management: A Case Study in Philadelphia's Combined Sewer Area,"Hung, Fengwei; Hobbs, Benjamin; Rosan, Christina; McGarity, Arthur; Szalay, Shandor; Heckert, Megan","Water, Wastewater, and Stormwater and Urban Watershed Symposium",2016,,,,,,,,,,,,,,,,,,,,
822,Old Industrial Sites - Conversion to Parks: Potential of Bratislava,"Kristianova, Katarina; Gecova, Katarina; Putrova, Eva","WORLD MULTIDISCIPLINARY CIVIL ENGINEERING-ARCHITECTURE-URBAN PLANNING SYMPOSIUM 2016, WMCAUS 2016",2016,,,,,,,,,,,,,,,,,,,,
823,"Conservation of underground water with the ecosystem approach to the development of the New towns in Bogor, Tangerang, Bekasi (Botabek) Region","Rahardjo, Parino; Hartono, Djoko M.; Suganda, Emirhadi; Arifin, Hadi Susilo",CITIES 2015: INTELLIGENT PLANNING TOWARDS SMART CITIES,2016,,,,,,,,,,,,,,,,,,,,
824,Soil microbial nitrogen cycling and nitrous oxide emissions from urban afforestation in the New York City Afforestation Project,"Pierre, Suzanne; Groffman, Peter M.; Killilea, Mary E.; Oldfield, Emily E.",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
825,Environmental health of Spanish parks: An approach to the allergenic potential of urban green spaces,"Carinanos, Paloma; Casares-Porcel, Manuel; Diaz de la Guardia, Consuelo; Jesus Aira, Maria; Boi, Marzia; Cardador, Cristina; Elvira-Rendueles, Belen; Fernandez-Rodriguez, Santiago; Maria Maya-Manzano, Jose; Perez-Badia, Rosa; Rodriguez de la Cruz, David; Javier Rodriguez-Rajo, Francisco; Rojo-Ubeda, Jesus; Sanchez-Reyes, Estefania; Sanchez-Sanchez, Jose; Tormo-Molina, Rafael; Vega-Maray, Ana Ma",REVISTA DE SALUD AMBIENTAL,2016,,,,,,,,,,,,,,,,,,,,
826,Green Infrastructures and Ecosystem Services in urban areas: research perspectives in environmental design,"Rigillo, Marina",TECHNE-JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT,2016,,,,,,,,,,,,,,,,,,,,
827,"Green-blue infrastructure in urban areas, the case of the Bronx River (NYC) and Paillon (Nice)","Perini, Katia; Sabbion, Paola",TECHNE-JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT,2016,,,,,,,,,,,,,,,,,,,,
828,Network systems and connectivity in the regeneration processes of anthropized contexts,"De Martino, Raffaela; Franchino, Rossella; Frettoloso, Caterina",TECHNE-JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT,2016,,,,,,,,,,,,,,,,,,,,
829,Do Biotope Area Factor values reflect ecological effectiveness of urban landscapes? A case study on university campuses in central Taiwan,"Huang, Pao-Shen; Tsai, Su-Mei; Lin, Hui-Chen; Tso, I-Min",LANDSCAPE AND URBAN PLANNING,2015,,,,,,,,,,,,,,,,,,,,
830,GREEN INFRASTRUCTURE DESIGN FOR IMPROVING STORMWATER QUALITY: DAYBREAK COMMUNITY IN THE UNITED STATES WEST,"Yang, Bo; Li, Shujuan; Wall, Hailey Ann; Blackmore, Pamela; Wang, Zhen",LANDSCAPE ARCHITECTURE FRONTIERS,2015,,,,,,,,,,,,,,,,,,,,
831,Divergent Vegetation Growth Patterns Relative to Bioinfiltration Unit Size and Plant Placement,"Brown, Robert A.; O'Connor, Thomas P.; Borst, Michael",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2015,,,,,,,,,,,,,,,,,,,,
832,FORESTRY PLANTATIONS OF Pinus caribaea IN VENEZUELA AS A SOLAR ENERGY COLLECTOR,"Greaves, Eduardo D.; Marin, Yelitza; Visaez, Francisco; Vicente Hernandez E, Jose",INTERCIENCIA,2015,,,,,,,,,,,,,,,,,,,,
833,Filling infrastructures and urban voids with nature: green areas typology,"Camilletti, Paolo",TRIA-TERRITORIO DELLA RICERCA SU INSEDIAMENTI E AMBIENTE,2015,,,,,,,,,,,,,,,,,,,,
834,PRACTICES FOR GREEN IT IN AN EDUCATIONAL COMPANY TO PROMOTE ENVIRONMENTAL RESPONSIBILITY,"Pontes, Floriana Nascimento; Giordano, Fabio",REVISTA DE GESTAO AMBIENTAL E SUSTENTABILIDADE-GEAS,2015,,,,,,,,,,,,,,,,,,,,
835,National distributional atlases and species inventory: toward a more iterative approach and a taxonomic balancing,"Touroult, Julien; Poncet, Laurent; Keith, Philippe; Boullet, Vincent; Arnal, Gerard; Brustel, Herve; Siblet, Jean-Philippe",REVUE D ECOLOGIE-LA TERRE ET LA VIE,2015,,,,,,,,,,,,,,,,,,,,
836,Survey on the Evaluation Index System of a Green Village in a Cold Region,"Gong, Deyuan; Yang, Xiaolin; Wang, Shuo",ICCREM 2015: ENVIRONMENT AND THE SUSTAINABLE BUILDING,2015,,,,,,,,,,,,,,,,,,,,
837,Carbon Sequestration of Different Types of Floodplain Forests in the Maros River Valley (Hungary),"Kiss, Marton; Cseh, Viktoria; Tanacs, Eszter",Landscape Analysis and Planning: Geographical Perspectives,2015,,,,,,,,,,,,,,,,,,,,
838,Working Waterfront Newtown Creek,"Guschl, Larissa",PROCEEDINGS OF THE 51ST ISOCARP CONGRESS,2015,,,,,,,,,,,,,,,,,,,,
839,Ecological modernization of socio-economic development of the region in the context of social transformations: theoretical and methodological bases,"Shkarupa, O. V.",MARKETING AND MANAGEMENT OF INNOVATIONS,2015,,,,,,,,,,,,,,,,,,,,
840,Mysteries of Szczecin's Historic Islands,"Tertel, Anna",PROCEEDINGS OF THE 50TH ISOCARP CONGRESS: URBAN TRANSFORMATIONS: CITIES AND WATER,2014,,,,,,,,,,,,,,,,,,,,
841,"Study on Planning an Ecological Stormwater Regulation System Based on LID(Low Impact Development) Mode -A Case Study of Chaihu Town, Zhongxiang City in Hubei Province","Mengjie, Zhang",PROCEEDINGS OF THE 50TH ISOCARP CONGRESS: URBAN TRANSFORMATIONS: CITIES AND WATER,2014,,,,,,,,,,,,,,,,,,,,
842,Blue-green corridors as a tool for erosion and stream control in highly urbanized areas - case study of Belgrade city,"Ristic, Ratko; Radic, Boris; Trivan, Goran; Malusevic, Ivan",HYDROLOGY IN A CHANGING WORLD: ENVIRONMENTAL AND HUMAN DIMENSIONS,2014,,,,,,,,,,,,,,,,,,,,
843,Research Opportunities into Horticulture and Green Open Space Management in the Middle East,"Aldous, D. E.",MIDDLE EAST HORTICULTURAL SUMMIT,2014,,,,,,,,,,,,,,,,,,,,
844,"Birds of Mondulkiri, Cambodia: distribution, status and conservation","Gray, Thomas N. E.; Pollard, Edward H. B.; Evans, Thomas D.; Goes, Frederic; Grindley, Mark; Omaliss, Keo; Nielsen, Paul H.; Sambovannak, Orn; Channa, Phan; Sophoan, Sanh",FORKTAIL,2014,,,,,,,,,,,,,,,,,,,,
845,THE ROLE OF GREEN INFRASTRUCTURE IN PROMOTING SOCIETAL HEATH AND WELL-BEING IN THE METROPOLITAN AREA OF CRAIOVA CITY,"Vilcea, Cristiana; Avram, Sorin; Negreanu, Stefan","GEOCONFERENCE ON ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION, SGEM 2014, VOL III",2014,,,,,,,,,,,,,,,,,,,,
846,THE DIVERSITY OF URBAN GREEN INFRASTRUCTURES IN A FORMER INDUSTRIAL CITY IN ROMANIA. CASE STUDY - RESITA,"Badiu, Denisa Lavinia; Chincea, Ilie; Ioja, Ioan Cristian; Niculae, Mihaita Iulian; Nita, Mihai Razvan; Patroescu, Maria; Vanau, Gabriel","GEOCONFERENCE ON ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION, VOL II",2014,,,,,,,,,,,,,,,,,,,,
847,Green Infrastructure and Ecological Technology Application Based on Lakes Overall Protection: A Case Study of Wolong Lake Area of Shengyang,"Wang, Yuncai; Cui, Ying","ADVANCES IN ENVIRONMENTAL TECHNOLOGIES, PTS 1-6",2013,,,,,,,,,,,,,,,,,,,,
848,Strategic Approaches for Research and Promotion of Underutilized Vegetable Crops for Food Security in Central Asia and the Caucasus,"Mavlyanova, R.",II INTERNATIONAL SYMPOSIUM ON UNDERUTILIZED PLANT SPECIES: CROPS FOR THE FUTURE - BEYOND FOOD SECURITY,2013,,,,,,,,,,,,,,,,,,,,
849,The Landscape Architecture Planning and Design of Urban Freeway Based on the Ecological Infrastructure Theory,Li Lei; Chen Bing; Liu Xiaoming,PROCEEDINGS 2012 INTERNATIONAL FEDERATION OF LANDSCAPE ARCHITECTS ASIA-PACIFIC REGION ANNUAL CONFERENCE (IFLA APRC 2012),2013,,,,,,,,,,,,,,,,,,,,
850,The Design and Thermal Comfort Test for North Shannxi Green Cave Dwelling,Yang Hong Xia; Duan Tie Hu; Li Yan Hong,"ADVANCED BUILDING MATERIALS AND SUSTAINABLE ARCHITECTURE, PTS 1-4",2012,,,,,,,,,,,,,,,,,,,,
851,"Stormwater Management: Myths, Measurements and Models","Sansalone, J.; Ying, G.; Zhang, H.; Raje, S.; Becciu, G.; Ranieri, V.",PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL TECHNOLOGY AND KNOWLEDGE TRANSFER,2012,,,,,,,,,,,,,,,,,,,,
852,LOWER MORAVA RIVER BASIN - A SUSTAINABLE DEVELOPMENT PROGRAM FOR CROSS BORDER REGION,"Kyselka, Igor",VENKOVSKA KRAJINA 2012,2012,,,,,,,,,,,,,,,,,,,,
853,POSSIBILITIES OF UNIFIED LANDSCAPE DEVELOPMENT IN TRANSNATIONAL BORDERLAND VALKA-VALGA EXAMPLE,"Jankevica, Maija",CIVIL ENGINEERING 11,2011,,,,,,,,,,,,,,,,,,,,
