Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
104,3,6/24-7/2,F4,NHMU,Ground,PItfall,Coleoptera,Elateridae,No,1,Wireworm -click beetle larva; looks like a millipede and has only six legs. Specimen very bleached/old ,
105,3,6/24-7/2,F5,NHMU,Ground,PItfall,Araneae,Spider,No,41,Assorted Spiders,
106,3,6/24-7/2,F6,NHMU,Ground,PItfall,Diptera,Muscidae,No,10,Common house fly ,
107,3,6/24-7/2,F7,NHMU,Ground,PItfall,Isopoda,Armadillidiidae,No,24,Common pill bug,
108,3,6/24-7/2,F8,NHMU,Ground,PItfall,Dermaptera,Labiduridae,No,65,Ring-Legged Earwig - Changed all families to Labiduridae ,
109,3,6/24-7/2,F9,NHMU,Ground,PItfall,Hymenoptera,Formicidae,No,46,Pavement ants ,
,3,6/24-7/2,F9,NHMU,Ground,PItfall,Hymenoptera,Formicidae,No,3,Red pavement ant,
110,3,6/24-7/2,Snails,Marr Lib,Roof,,Allogastropoda,Valvatidae,No,1,Snail ,
111,4,7/2-7/22,Empty,NHMU,Roof,Combi,,,,,,
112,4,7/2-7/22,Empty,NHMU,Ground,Combi,,,,,,
113,4,7/2-7/22,A1,NHMU,Roof,Pitfall,Isopoda,Armadillidiidae,No,17,Common pill bug,
114,4,7/2-7/22,A2,NHMU,Roof,Pitfall,,,,3,Micro flies ,
114,4,7/2-7/22,A2,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,3,Red carpenter ant ,
114,4,7/2-7/22,A2,NHMU,Roof,Pitfall,Dermaptera,Labiduridae,No,14,"Earwigs? Possibly, larvae or microearwigs ",
115,4,7/2-7/22,A3,NHMU,Roof,Pitfall,Araneae,Spider,No,7,Assorted Spiders,
116,4,7/2-7/22,A4,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,6,Black pavement ant swarmer ,
116,4,7/2-7/22,A4,NHMU,Roof,Pitfall,Diptera,Tipulidae,No,2,Cranefly - looks like a huge mosquito ,
116,4,7/2-7/22,A4,NHMU,Roof,Pitfall,Araneae,Spider,No,1,Spider - small ,
116,4,7/2-7/22,A4,NHMU,Roof,Pitfall,,,No,1,Brown beetle ,
116,4,7/2-7/22,A4,NHMU,Roof,Pitfall,Diptera,Culicidae,No,1,Mosquito- small ,
