Bee data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,,,
For data collection methods see above paper.,,,,,
"spp = species. Point = green space site (n=39). Rep = plot within each green space. Season = spring and summer sampling seasons as  detailed in the paper. Homalictus (Homalictus) complex: punctatus, brisbanensis and megastigmus",,,,,
Plot,point,rep,spp,Season,occ
05GC04,GC005,8,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
08GC01,GC008,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
08GC04,GC008,8,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
09GC04,GC009,4,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
11GC01,GC011,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
11GC02,GC011,2,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
11GC03,GC011,3,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
11GC01,GC011,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
11GC04,GC011,8,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
12GC01,GC012,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
13GC01,GC013,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
13GC02,GC013,6,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
02RG04,RG002,4,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
02RG02,RG002,6,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
04RG05,RG004,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
05RG05,RG005,3,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
06RG01,RG006,1,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
06RG03,RG006,3,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
06RG01,RG006,5,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
07RG02,RG007,6,"""Lasioglossum (Chilalictus) brunnesetum""",2,1
09RG03,RG009,3,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
10RG02,RG010,2,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
10RG04,RG010,4,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
12RG03,RG012,3,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
12RG04,RG012,4,"""Lasioglossum (Chilalictus) brunnesetum""",1,1
