GI.Type,SiteID,SpeciesCode,Taxa,SpeciesName,CommonName,Status,Count
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,70,bl,Bird,,Blackbird,,1
public/community gardens,70,bl,Bird,,Blackbird,,1
public/community gardens,70,bl,Bird,,Blackbird,,1
public/community gardens,71,bl,Bird,,Blackbird,,1
public/community gardens,71,bl,Bird,,Blackbird,,1
public/community gardens,62,bl,Bird,,Blackbird,,1
public/community gardens,62,bl,Bird,,Blackbird,,1
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,168,bl,Bird,,Blackbird,,1
public/community gardens,172,bl,Bird,,Blackbird,,1
public/community gardens,172,bl,Bird,,Blackbird,,1
public/community gardens,172,bl,Bird,,Blackbird,,1
public/community gardens,149,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,34,bl,Bird,,Blackbird,,1
public/community gardens,51,bl,Bird,,Blackbird,,2
public/community gardens,51,bl,Bird,,Blackbird,,1
public/community gardens,51,bl,Bird,,Blackbird,,1
public/community gardens,51,bl,Bird,,Blackbird,,1
public/community gardens,51,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,2
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,2
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,2
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,2
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,85,bl,Bird,,Blackbird,,1
public/community gardens,85,bl,Bird,,Blackbird,,1
public/community gardens,85,bl,Bird,,Blackbird,,1
public/community gardens,71,bl,Bird,,Blackbird,,1
public/community gardens,71,bl,Bird,,Blackbird,,2
public/community gardens,70,bl,Bird,,Blackbird,,2
public/community gardens,70,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,2
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,147,bl,Bird,,Blackbird,,1
public/community gardens,134,bl,Bird,,Blackbird,,2
public/community gardens,134,bl,Bird,,Blackbird,,1
public/community gardens,185,bl,Bird,,Blackbird,,1
public/community gardens,185,bl,Bird,,Blackbird,,1
public/community gardens,138,bl,Bird,,Blackbird,,1
public/community gardens,138,bl,Bird,,Blackbird,,1
public/community gardens,138,bl,Bird,,Blackbird,,2
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
