Sites,Site name,Green space type,City,Size (m2),Latitude,Longitude,city,Habitats,method,Season,L.ISAWZUM,L.MICHIGANENSIS,L.ASTERIS,L.SAGAX,L.LAEVISSIMUM,L.LEUCOCOMUM,L.LINEATULUM,L.CRESSONII,L.TEGULAREA,L.IMITATUM,L.EPHIALTUM,L.PILOSUM,L.VERSATUM,L.HITCHENSI,L.TAYLOREA,L.VERSANS,L.SUBVERSANS,L.SMILACINAE,L.NIGROVIRIDE,L.ABANCI,L.PLANATUM,L.DREISBACHI,L.VIRIDATUM,L.OBLONGUM,L.TRIGEMINUM,L.ZEPHYRUM,L.TENAX,L.COERULUM,L.HETEROGNATUM,L.PARADMIRANTUM,L.PERPUNCTATUM,L.CEPHALOTES,L.BIRKMANNI,L.MACOUPINENSIS,L.FOXII,L.INCONDIDUM,L.COMAGENENSE,L.ATHABACENSE,L.CORIACEUM,L.OENOTHARAE,L.CINCTIPES,L.QUEBECENSIS,L.ZONULUM,L.LEUCOZONIUM,H.RUBICUNDUS,H.CONFUSUS,H.LIGATUS,A.AURATA,A.PURA,A.METALLICA,A.VIRESCENS,A.TEXANA,APIS.MELLIFERA,B.IMPATIENS,B.TERRICOLA,B.GRISEOCOLLIS,B.VAGANS,B.RUFOCINCTUS,B.TERNARIUS,B.BIMACULATUS,B.FERVIDUS,B.CITRINUS,B.PERPLEXUS,B.BOREALIS,M.DESPONSA,M.TRINODIS,M.DRURIELLA,M.SUBILLATA,M.ILLATA,P.PRUINOSA,A.TERMINALIS,C.CALCARATA,C.MIKMAQUI,C.DUPLA,X.VIRGINIANA,M.INERMIS,M.FRIGIDA,M.ROTUNDATA,M.PUGNATA,M.CAMPANULAE,M.CENTUNCULARIS,M.RELATIVA,M.LATIMANUS,M.GEMULA,M.TEXANA,M.BREVIS,M.MENDICA,M.LAPPONICA,M.MELANOPHAE,A.MANICATUM,A.OBLONGATUM,A.FLORENTINUM,C.PORTERAE,C.OCTODENTATA,H.CARINATA,H.PRODUCTA,H.PILOSIFRONS,H.SPOLIATA,H.LEAVITTI,H.ANTHOCOPOIDES,O.ALBIVENTRIS,O.ATRIVENTRIS,O.LIGNARIA,O.CAERULESCENS,O.TERSULA,O.PUMILA,O.TAURUS,O.CONJUNCTA,O.SIMILLIMA,O.BUCEPHALA,C.RAPUNCULI,C.PHILADELPHI,C.CAMPANULARUM,H.MESILLAE,H.HYALINATUS,H.AFFINIS,H.MODESTUS,H.ANNULATUS,H.PUNCTATUS,H.COMMUNIS,H.LEPTOCEPHALUS,H.BASALIS,H.NELUMBONIS,C.SIMULANS,C.AMERICANA,C.ANDRENOIDES,P.PARVUS,P.RUDBECKIAE,P.ANDRENOIDES,P.OCTOMACULATA,M.NUDA,A.HIRTICINCTA,A.HIPPOTES,A.CRESSONII,A.NIVALIS,A.COMMODA,A.NIGRAE,A.CEANOTHI,A.CARLINI,A.CRATAGEI,A.WHEELERI,A.RUFOSIGNATA,A.MISERABILIS,A.MILWAUKIENSIS,A.VICINA,A.FRAGILIS,A.PLATYPARIA,A.BISALICIS,A.FRIGIDA*,A.PERPLEXA*,A.ZIZIEA,A.MANDIBULARIS*,A.GERANII,A.MORISONELLA,A.ERYTHROGASTER,A.DUNNINGI,A.PERSIMULATA,A.RUGOSA,A.ALLEGHANIENSIS,A.FORBESI,A.SIGMUNDI,A.NASSONI,A.SPIREANA,A.ROBERTSONI,A.WILKELLA,A.IMITATRIX,A.INTEGRA,A.ALGIDA,A.CLARKELLA,A.CHROMOTRICHA,A.ERIGENIAE*,A.WSCRIPTA,A.BREVIPALPIS,A.NUBECULA,A.DISTANS,A.ASTERIS,A.ERYTHRONII,A.SIMPLEX,A.REGULARIS,N.BETHUNEI,N.CRESSONII,N.MACULATA,N.DENTICULATA,N.VICINA,N.LUTHEOLOIDES,N.PARVA,N.PYGMAEA,S.RANUNCULI,S.DICHROUS,S.CLEMATIDIS,S.MANDIBULARIS,S.SOLONIS,S.CAROLINUS,S.CRESSONI,S.CONFERTUS,T.PECTORALIS,T.REGIMENATUS,T.OBLITERATUS,E.SCUTELARIS,H.CALLIOPSIDIS
PPPH,Pointe-aux-Prairies Heritage,Nature park,Montreal,5900,45.6815,-73.5068,MontrÇal,park,pan trap,2012,0,,,,7,0,8,3,0,10,0,0,4,0,,2,,0,1,,,0,,0,,0,,0,0,,,,,0,,,,,2,0,0,0,11,5,4,4,2,30,12,0,10,0,5,10,1,1,0,2,1,0,0,2,,,53,0,1,7,0,0,2,33,4,8,,0,0,4,,0,1,4,0,,2,0,0,11,,1,1,0,,0,0,8,,1,0,,6,,,,,,,,,,3,0,0,11,0,7,4,0,0,0,,,,,,0,,,,,,,0,2,0,4,3,1,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,2,,,,,,,0,,0,,,,,0,0,0,,,,
PPPM,Pointe-aux-Prairies Marais,Nature park,Montreal,9211,45.6881,-73.5237,MontrÇal,park,pan trap,2012,0,,,,13,0,7,5,0,0,5,0,6,0,,4,,0,0,,,1,,1,,0,,0,0,,,,,0,,,,,0,0,0,0,14,1,0,3,7,0,0,0,6,0,10,9,0,0,2,3,3,1,0,2,,,6,0,7,0,0,2,0,58,23,20,,0,0,3,,0,0,0,1,,0,0,0,1,,0,0,2,,0,0,3,,,3,,2,,,,,,,,,,0,0,0,26,0,7,6,19,0,0,,,,,,0,,,,,,,0,0,0,10,0,2,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,0,0,,,0,,0,,,,,,,,0,,,,,,,0,,0,,,,,0,0,0,,,,
PV,De La Visitation,Nature park,Montreal,3500,45.5808,-73.6561,MontrÇal,park,pan trap,2012,0,,,,11,0,7,7,0,6,0,0,0,0,,2,,0,0,,,0,,1,,1,,0,0,,,,,0,,,,,0,0,0,0,0,1,3,6,10,5,11,0,112,0,2,12,0,3,0,3,3,1,1,1,,,0,0,4,2,0,0,1,2,3,2,,0,0,28,,0,0,0,4,,0,0,2,0,,1,0,8,,0,0,0,,,0,,0,,,,,,,,,,2,0,0,2,3,0,4,0,0,0,,,,,,0,,,,,,,0,0,0,4,1,0,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,,0,0,0,,0,,,0,,0,,,,,,,,3,,,,,,,1,,0,,,,,0,0,0,,,,
CBS,Shaare Zion,Cemetery,Montreal,16483,45.5503,-73.6557,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,,1,,18,6,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CC,Urgel Bourgie,Cemetery,Montreal,62100,45.5095,-73.6647,MontrÇal,cemetery,netting,2012,,,,1,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,,0,,0,42,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,1,0,,,,,0,,,,0,1,,,,,0,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CHD,Hawthorn-Dale,Cemetery,Montreal,86000,45.6838,-73.5069,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,,2,,1,0,,0,0,1,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CL,Lachine,Cemetery,Montreal,50735,45.4435,-73.684,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,1,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,0,3,0,0,0,,2,,2,2,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,2,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,1,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CLV,Lakeview,Cemetery,Montreal,147000,45.4417,-73.8373,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,1,1,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,5,0,1,1,,11,,8,70,,2,0,0,0,,0,2,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CP,La PrÇsentation,Cemetery,Montreal,13005,45.4434,-73.7366,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,,1,,0,11,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,1,,,,,,0,0,0,,,,,0,,,,0,1,,,,,0,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
CSG,Ste-Geneviäve,Cemetery,Montreal,44800,45.459,-73.9204,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,0,0,,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,1,0,,0,,1,1,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,1,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,1,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CSL,St-Laurent,Cemetery,Montreal,16182,45.5155,-73.6714,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,1,0,0,0,,3,,3,2,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,2,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
CV,De La Visitation,Cemetery,Montreal,6200,45.5674,-73.6591,MontrÇal,cemetery,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,0,0,0,0,0,,4,,3,2,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,1,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JAN,Alexis-Nihon,Community garden,Montreal,1050,45.4971,-73.691,MontrÇal,community garden,netting,2012,,,,0,0,,0,0,0,1,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,2,0,2,0,0,,0,,0,18,,0,0,1,0,,0,0,,,,,,0,,,,0,,,,,0,1,,,,,,0,0,0,,,,1,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,7,0,0,1,0,1,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JH,Hartenstein,Community garden,Montreal,567,45.5581,-73.5782,MontrÇal,community garden,netting,2012,,,,0,1,,0,0,0,1,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,0,0,0,0,0,0,0,,1,,1,27,,1,0,1,0,,0,0,,,,,,0,,,,0,,,,,2,0,,,,,,0,1,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,1,0,0,0,1,0,2,2,0,7,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JP,Prieur,Community garden,Montreal,4221,45.5778,-73.6489,MontrÇal,community garden,netting,2012,,,,4,5,,5,0,0,14,2,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,1,3,4,14,0,1,,0,,3,29,,2,0,0,0,,0,0,,,,,,0,,,,5,,,,,0,0,,,,,,0,1,0,,,,,0,,,,0,1,,,,,0,,,,,,,,,,0,0,0,0,0,2,0,0,0,9,0,,,,,,,,,,,0,1,,3,0,,,,0,,,4,0,1,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JL,Laurendeau,Community garden,Montreal,2320,45.6036,-73.5702,MontrÇal,community garden,netting,2012,,,,0,1,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,,0,,0,13,,0,0,0,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JPM,Päre-Marquette,Community garden,Montreal,3180,45.5399,73.59569,MontrÇal,community garden,netting,2012,,,,0,0,,0,0,1,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,0,1,0,0,0,,3,,8,54,,0,1,2,0,,0,0,,,,,,0,,,,0,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,6,1,0,0,18,8,3,,,,,,,,,,,0,0,,0,2,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JR,Roseraie,Community garden,Montreal,2117,45.5923,-73.5544,MontrÇal,community garden,netting,2012,,,,0,6,,1,0,0,3,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,1,0,0,,2,,7,45,,0,0,1,0,,0,2,,,,,,0,,,,0,,,,,0,1,,,,,,0,0,0,,,,,1,,,,0,0,,,,,0,,,,,,,,,,2,0,0,0,5,2,0,0,1,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JRE,Rosemont-êglantier,Community garden,Montreal,7514,45.5654,-73.5685,MontrÇal,community garden,netting,2012,,,,2,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,1,0,0,0,0,,0,,0,1,,1,0,2,0,,0,0,,,,,,0,,,,0,,,,,1,1,,,,,,0,0,0,,,,,0,,,,0,1,,,,,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,,1,0,,,,1,,,0,0,0,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JS,Sherbrooke,Community garden,Montreal,960,45.4447,-73.6679,MontrÇal,community garden,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,1,3,0,0,,4,,2,35,,2,0,2,1,,0,1,,,,,,3,,,,2,,,,,0,1,,,,,,0,0,0,,,,2,0,,,,1,0,,,,,0,,,,,,,,,,1,0,0,1,4,1,0,0,1,6,0,,,,,,,,,,,0,0,,0,1,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
JSM,Sainte-Marthe,Community garden,Montreal,3050,45.6386,-73.5981,MontrÇal,community garden,netting,2012,,,,0,7,,3,0,2,7,5,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,1,0,5,3,1,0,0,,10,,18,4,,0,0,1,1,,0,0,,,,,,0,,,,1,,,,,0,1,,,,,,0,0,0,,,,,1,,,,0,0,,,,,1,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,0,1,,1,0,,,,0,,,3,0,0,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
PBL,Bois-de-Liesse,Nature park,Montreal,1716,45.5007,-73.7647,MontrÇal,park,netting,2012,,,,1,0,,0,0,0,3,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,1,0,1,,2,,2,0,,0,0,0,0,,0,0,,,,,,0,,,,10,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
PIB,Boucherville island,Nature park,Montreal,3024,45.5885,-73.4854,MontrÇal,park,netting,2012,,,,0,1,,0,1,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,1,0,,0,,0,2,,0,0,0,0,,2,0,,,,,,0,,,,19,,,,,0,0,,,,,,0,0,0,,,,,0,,,,0,0,,,,,1,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,2,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
PPPH,Pointe-aux-Prairies Heritage,Nature park,Montreal,5900,45.6815,-73.5068,MontrÇal,park,netting,2012,,,,0,0,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,,1,,0,1,,1,0,1,0,,0,5,,,,,,0,,,,0,,,,,0,0,,,,,,1,0,1,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
PPPM,Pointe-aux-Prairies Marais,Nature park,Montreal,9211,45.6881,-73.5237,MontrÇal,park,netting,2012,,,,0,1,,0,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,1,0,,1,,7,2,,1,0,0,0,,0,0,,,,,,0,,,,3,,,,,0,0,,,,,,0,1,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,0,0,,,,1,,,0,2,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,
PV,De La Visitation,Nature park,Montreal,3500,45.5808,-73.6561,MontrÇal,park,netting,2012,,,,0,1,,0,0,0,2,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,2,0,1,0,0,,3,,0,34,,0,0,4,0,,0,0,,,,,,0,,,,2,,,,,0,1,,,,,,0,1,0,,,,,0,,,,0,0,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,,0,0,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,
CCR,Cap-Rouge,Cemetery,Quebec,6770,46.7504,-71.3453,QuÇbec,cemetery,pan trap,2013,,2,,17,8,,2,,2,10,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,3,,1,,,,,2,1,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CDB,Notre-Dame-de-Belmont,Cemetery,Quebec,92328,46.7903,-71.2787,QuÇbec,cemetery,pan trap,2013,,,,2,54,2,7,11,,10,1,2,,,,,,,2,,,,,,,,,,,,4,,1,,1,,,,7,,3,,3,6,29,3,2,1,,,,,,5,,,,9,1,1,6,,,,5,,,,1,,,4,13,6,,4,,2,,,,,,,1,,,,,1,,,,,2,1,,,,,1,,,,,2,,5,,,,,,,,1,17,3,,2,1,,,,,,,,,,,,1,,2,,,1,2,2,6,,,2,1,,,,,,,1,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,2,,1,,,1,,,6,,,,1,,,,,,,,
CMH,Mount Hermont,Cemetery,Quebec,92127,46.7788,-71.2469,QuÇbec,cemetery,pan trap,2013,,1,1,24,118,4,21,12,,6,4,2,,,,3,,,2,,,,,2,,,,,,,7,,,,2,1,,,7,,12,,2,3,6,7,9,6,4,,,,1,14,,,2,,,,,,,,,,,,1,,,36,1,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,6,,,,2,,,15,,,,,,,,,4,1,,2,,,,,,,,,,,,,8,,21,1,,1,17,1,5,,1,3,4,,2,,1,,,,1,2,,,2,,,15,,24,,1,5,5,,,1,,1,1,,,,,,,,8,,4,,1,3,,1,3,1,,,,,,,,,,,
CNDF,Notre-Dame-de-Foy,Cemetery,Quebec,7051,46.7778,-71.3031,QuÇbec,cemetery,pan trap,2013,,2,,19,88,,1,6,,1,4,2,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,9,,,,,,6,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,
CSA,Saint-Augustin,Cemetery,Quebec,9988,46.7433,-71.458,QuÇbec,cemetery,pan trap,2013,,2,,11,4,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC,Saint-Charles,Cemetery,Quebec,117697,46.8087,-71.2725,QuÇbec,cemetery,pan trap,2013,,2,,22,37,1,15,6,,5,3,1,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,10,,3,,12,5,23,4,17,,,,,,1,9,,,2,6,1,1,,1,,1,,,,,,,,7,,,,9,,,,,,,,,,,,,,,,,2,,,,1,,,,2,,1,,1,,,,,,,,,,1,,10,57,,,,,,,,,,,,,,,2,,,3,,2,4,1,15,,,8,2,,,,5,,1,,5,,,,1,,,1,,1,,,17,1,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
CSP,Saint-Patrick,Cemetery,Quebec,52611,46.7845,-71.2408,QuÇbec,cemetery,pan trap,2013,,,,9,52,4,11,9,,3,3,4,2,,,3,,,2,,,,,,,,,,,,2,,,,,,,,9,,5,,4,2,17,1,2,3,1,,,,,12,,,,1,1,3,1,,,,,,,,,,,11,3,1,,,,,,,,1,,,,,,,1,2,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,1,,8,7,,,5,2,2,,1,,1,,,1,,,,,,,,,,,3,,,3,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,
JD,Duberger,Community garden,Quebec,1856,46.8115,-71.2918,QuÇbec,community garden,pan trap,2013,,,,1,5,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLM,Le Marmottier,Community garden,Quebec,2845,46.7935,-71.2419,QuÇbec,community garden,pan trap,2013,,,,,32,,4,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,6,1,2,,,,,,1,2,,,1,1,,3,,,,,,,,,,,,13,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
JLR,Louis-Riel,Community garden,Quebec,3907,46.765,-71.3047,QuÇbec,community garden,pan trap,2013,,1,,4,7,,3,4,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
JM,Marchand,Community garden,Quebec,1510,46.8372,71.241248,QuÇbec,community garden,pan trap,2013,,,,3,33,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,12,,,1,1,,,,,3,,,,,,2,1,,,,,,,,,4,,2,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JML,Mont-Lilas,Community garden,Quebec,8316,46.8612,-71.1966,QuÇbec,community garden,pan trap,2013,,,,9,66,2,33,18,12,71,2,30,2,1,,3,,,7,,,,1,3,,,1,,,,4,,,12,6,1,,,3,,3,,4,3,8,10,2,6,1,,,,,2,,,2,3,,,,1,,,,,,,,,,33,1,1,,2,1,1,,,,,,,,,,,2,2,,,,,,5,,,,,,2,,,,,,,1,1,,,,,,,11,,,,,,,,,1,,,,,,,1,,4,7,,2,1,,1,,1,1,,,,,,,,,,,,,4,,,,,1,,,1,,,,,,,,,,,,,,,2,,2,,,,,,,,1,1,,,,,,,1,,
