SiteID,Lon,Lat,Area (m2),Height (m),Age (year),Sealed area (%),Family,Genus,Species,Abundance
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,minutulum,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,morioÿ,4
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,nigripes,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,nitidulum,4
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,pauxillum,1
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,politum,11
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,sabulosum,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Lasioglossum,villosulum,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Sphecodes,albilabris,
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Sphecodes,monilicornis,1
3,16.372002,48.189551,200,25,16,75.6,Halictidae,Sphecodes,ruficrus,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Anthidium,manicatum,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Anthidium,oblongatum,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Anthidium,strigatum,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Chelostoma,florisomne,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Chelostoma,rapunculi,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Coelioxys,conoideaÿ,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Coelioxys,echinata,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Coelioxys,elongata,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Coelioxys,mandibularis,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Heriades,crenulatus,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Heriades,rubicola,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Heriades,truncorum,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,apicalis,4
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,centuncularis,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,dorsalis,1
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,ericetorum,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,lagopoda,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,pilidens,3
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,rotundata,2
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,versicolor,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Megachile,willughbiella,4
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Osmia,aduncaÿ,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Osmia,bicornis,4
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Osmia,caerulescens,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Osmia,cornuta,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Osmia,leucomelana,
3,16.372002,48.189551,200,25,16,75.6,Megachilidae,Stelis,punctulatissima,
3,16.372002,48.189551,200,25,16,75.6,Mellitidae,Melitta,haemorrhoidalis,
3,16.372002,48.189551,200,25,16,75.6,Mellitidae,Melitta,leporinaÿ,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,bimaculata,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,danuvia,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,dorsataÿ,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,flavipes,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,gravida,6
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,minutulaÿ,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,nigroaenea,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,ovatulaÿ,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,pilipes,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,tibialis,
4,16.329165,48.216574,231,16,23,83.9,Andrenidae,Andrena,variansÿ,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Anthophora,crinipes,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Anthophora,plumipesÿ,12
4,16.329165,48.216574,231,16,23,83.9,Apidae,Anthophora,quadrimaculata,1
4,16.329165,48.216574,231,16,23,83.9,Apidae,Apis,mellifera,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,bohemicus,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,hortorum,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,humilis,3
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,hypnorum,2
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,lapidaries,5
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,lucorum,1
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,pascuorum,1
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,pratorum,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,rupestris,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Bombus,terrestris,1
4,16.329165,48.216574,231,16,23,83.9,Apidae,Eucera,nigrescens,
4,16.329165,48.216574,231,16,23,83.9,Apidae,Melecta,albifrons,2
4,16.329165,48.216574,231,16,23,83.9,Apidae,Nomada,goodeniana,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Colletes,daviesanus,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,cardioscapus,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,communis,6
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,gredleri,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,hyalinatus,4
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,imparilis,
4,16.329165,48.216574,231,16,23,83.9,Colletidae,Hylaeus,leptocephalus,5
