Taxa,Species,Frequency Percent,Red List,Native Status,Habitat,Territories
Bryophytes,Orthotrichum anomalum,40,*,,,
Bryophytes,Orthotrichum diaphanum,27,*,,,
Bryophytes,Plagiomnium cuspidatum,3,*,,,
Bryophytes,Polytrichum formosum,3,*,,,
Bryophytes,Rhynchostegium murale,13,*,,,
Bryophytes,Schistidium apocarpum s. l.,37,*,,,
Bryophytes,Schistidium apocarpum s. str.,10,ne,,,
Bryophytes,Schistidium crassipilum,10,ne,,,
Bryophytes,Tortula calcicolens,7,ne,,,
Bryophytes,Tortula muralis,63,*,,,
Aves,Turdus merula,,.,,,49
Aves,Sylvia atricapilla,,.,,,41
Aves,Phoenicurus ochruros,,.,,,1
Aves,Parus caeruleus,,.,,,10
Aves,Fringilla coelebs,,.,,,21
Aves,Phylloscopus collybita,,.,,,14
Aves,Buteo buteo,,.,,,1
Aves,Phoenicurus phoenicurus,,.,,,5
Aves,Serinus serinus,,V,,,1
Aves,Prunella modularis,,.,,,2
Aves,Garrulus glandarius,,.,,,4
Aves,Troglodytes troglodytes,,.,,,27
Aves,Sylvia borin,,V,,,1
Aves,Carduelis carduelis,,.,,,3
Aves,Accipiter gentilis,,R,,,1
Aves,Parus major,,.,,,21
Aves,Dendrocopos major,,.,,,8
Aves,Picus viridis,,V,,,1
Aves,Carduelis chloris,,.,,,21
Aves,Coccothraustes coccothraustes,,.,,,7
Aves,Hippolais icterina,,V,,,4
Aves,Dendrocopos minor,,V,,,2
Aves,Sylvia curruca,,.,,,1
Aves,Aegithalos caudatus,,.,,,2
Aves,Sitta europaea,,.,,,8
Aves,Certhia brachydactyla,,.,,,5
Aves,Turdus philomelos,,.,,,10
Aves,Muscicapa striata,,V,,,7
Aves,Sturnus vulgaris,,.,,,15
Aves,Motacilla alba,,V,,,1
Aves,Phylloscopus sibilatrix,,.,,,1
Aves,Columba palumbus,,.,,,6
Insecta,Agonum gracilipes,3,*,,,
Insecta,Amara aenea,3,*,,,
Insecta,Amara anthobia,3,*,,,
Insecta,Bembidion quadrimaculatum,3,*,,,
Insecta,Clivina fossor,3,*,,,
Insecta,Dyschirius angustatus,3,2,,,
Insecta,Elaphrus cupreus,3,*,,,
Insecta,Harpalus distinguendus,3,*,,,
Insecta,Harpalus luteicornis,3,*,,,
Insecta,Harpalus pumilus,3,*,,,
Insecta,Ophonus laticollis,3,*,,,
Insecta,Poecilus versicolor,3,*,,,
Insecta,Pterostichus nigrita,3,*,,,
Insecta,Syntomus foveatus,3,*,,,
Arachnida,Eratigena atrica,3,*,,,
Arachnida,Clubiona comta,3,*,,,
Arachnida,Hahnia ononidum,3,*,,,
Arachnida,Araeoncus humilis,3,*,,,
Arachnida,Centromerus pabulator,3,*,,,
Arachnida,Entelecara acuminata,3,*,,,
Arachnida,Erigone dentipalpis,3,*,,,
Arachnida,Floronia bucculenta,3,*,,,
Arachnida,Gongylidium ru?pes,3,*,,,
Arachnida,Linyphia triangularis,3,*,,,
Arachnida,Tenuiphantes tenuis,3,*,,,
Arachnida,Troxochrus scabriculus,3,*,,,
Arachnida,Walckenaeria cucullata,3,*,,,
Arachnida,Liocranum rupicola,3,*,,,
Arachnida,Pholcus opilionoides,3,*,,,
Arachnida,Euryopis ?avomaculata,3,*,,,
Arachnida,Observed species,5,,,,
Arachnida,Estimated species (Chao 1),5,,,,
Insecta,Amara familiaris,7,*,,,
Insecta,Licinus depressus,7,*,,,
Arachnida,Anyphaena accentuata,7,*,,,
Arachnida,Erigonella hiemalis,7,*,,,
Arachnida,Porrhomma errans,7,*,,,
Arachnida,Porrhomma microcavense,7,nr,,,
Arachnida,Ballus chalybeius,7,*,,,
Arachnida,Xysticus lanio,7,*,,,
Arachnida,Zodarion italicum,7,*,,,
Insecta,Bembidion lampros,10,*,,,
Insecta,Bembidion properans,10,*,,,
Insecta,Harpalus signaticornis,10,*,,,
Insecta,Pterostichus rhaeticus,10,*,,,
Arachnida,Tegenaria ferruginea,10,*,,,
Arachnida,Dysdera crocata,10,*,,,
Arachnida,Micrargus herbigradus,10,*,,,
Arachnida,Walckenaeria furcillata,10,*,,,
Insecta,Harpalus ru?pes,13,*,,,
Insecta,Harpalus tardus,13,*,,,
Insecta,Poecilus cupreus,13,*,,,
Arachnida,Nemastoma dentigerum,13,nr,,,
Arachnida,Odiellus spinosus,13,*,,,
Arachnida,Erigone atra,13,*,,,
Arachnida,Phrurolithus festivus,13,*,,,
